brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
ASUS;AMD;;;Missing;32;0;Casual;0;0;No;No;19990
APPLE;Apple;16;DDR4;Mac;64;0;Casual;13.3;1;No;No;128990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;44990
HP;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;41250
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;32990
APPLE;Apple;16;Unified;Mac;64;0;Casual;14.2;1;No;No;225990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;44990
APPLE;Apple;16;Unified;Mac;64;0;Casual;14.2;1;No;No;184990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;54990
APPLE;Apple;16;Unified;Mac;64;0;Casual;16.2;1;No;No;243990
APPLE;Apple;16;Unified;Mac;64;0;Casual;16.2;1;No;No;225990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15;1;No;Yes;59990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;41490
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14.96;0;No;No;41990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;No;42990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;0;No;No;54490
APPLE;Apple;32;Unified;Mac;64;0;Casual;16.2;1;No;No;309990
Lenovo;Intel;8;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;60990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;53990
HP;Intel;16;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;66999
Lenovo;AMD;8;DDR4;Windows;64;0;Gaming;15.6;1;No;Yes;63990
Infinix;Intel;16;LPDDR4X;Windows;64;8;Casual;14;0;No;No;54990
DELL;Intel;8;DDR4;Windows;64;0;Casual;14;1;Yes;No;60790
ASUS;AMD;8;DDR4;Windows;64;4;Casual;15.6;0;No;No;71990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;48990
ASUS;AMD;16;DDR4;Windows;64;4;Casual;15.6;0;No;No;114990
Lenovo;AMD;16;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;99990
ASUS;AMD;8;DDR4;Windows;64;0;Casual;14;1;No;No;58990
ASUS;Intel;4;LPDDR4;Missing;32;0;Casual;0;0;No;No;24990
Lenovo;AMD;8;DDR4;Missing;64;0;ThinNlight;14;0;No;No;57490
acer;Intel;8;LPDDR4X;Windows;64;0;ThinNlight;14;1;No;Yes;60990
DELL;Intel;4;DDR4;Windows;64;0;ThinNlight;14.9;1;No;Yes;55790
acer;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;No;46990
ASUS;AMD;16;DDR4;Windows;64;0;Casual;14;1;No;No;79990
